Customer ID,fisrt_name,LastName ,Gender?,Date Of Birth,CITY,state ,job_title,Customer Segment,AnnualIncome,join_date
C03575, neha,   Jain  ,Female,10-06-1969,   Pune ,Maharashtra,Student  ,Retail,1406408.53,29-12-2022
C00519,   kiara,   MALHOTRA   ,Female,20-12-1989,SURAT  ,Gujarat, Student   ,SME,,26-12-2021
,Myra  , Singh  ,Female,14-09-2004, mumbai   ,Maharashtra, Student,Corporate,607461.07,25-08-2025
C03085,   IRa,  VERMA ,Female,01-10-1967, Coimbatore  ,Tamil Nadu,  Salaried  ,Retail,347934.6,24/07/2018
C04605,   AADhYa ,joshi,Female,04-08-1973,  Gurugram   ,Haryana,  Salaried  ,Retail,unknown,10-04-2024
C03162, RAHUL   ,  BANSAL  ,Female,04-04-1973,Chandigarh   ,Chandigarh, Retired   ,SME,unknown,28-11-2020
,   Pari,   MEhta  ,Female,23-08-1961,  Delhi ,Delhi,   Student   ,Retail,829171.17,09-05-2022
C03377,   krishna  ,   Patel  ,Female,11-09-2002,,Uttar Pradesh,   Retired   ,Retail,415608.22,05-01-2026
C03919,  IRA  ,Desai   ,Female,09-06-1979,  Bhopal   ,Madhya Pradesh,  Freelancer ,Retail,467509.86,18-05-2024
C00448,  Pooja  , reddy ,Female,19-04-1998, COIMBATORE   ,Tamil Nadu,,Retail,340407.5,07-01-2023
C02324,  saI  ,   GUPTA ,Female,23-09-1992,   Chennai   ,Tamil Nadu,,Retail,unknown,09-07-2022
C04373,aRjUN ,Iyer,Female,05-05-1998,  NOIDA  ,Uttar Pradesh,,Premium,$1136811.4,07-10-2023
C04951,   SNEHA ,  singh   ,Male,08-07-1979, Hyderabad ,Telangana,,Retail,874220.98,09-12-2019
C01836, Rohan   ,Kumar  ,Male,23-03-1966,,Uttar Pradesh, Salaried ,SME,901650.96,16-01-2026
C01537,Sai ,   iyer   ,Female,10-11-1964,  Nagpur   ,Maharashtra,,Retail,470994.2,28-09-2020
C01229,   DIYA   , meHTA ,Male,16-08-2000,   Kolkata  ,West Bengal,,SME,305724.34,22-02-2025
C02674, reyansh, VERMA ,Female,11-08-2001,   Lucknow   ,Uttar Pradesh,Retired  ,Premium,unknown,27-02-2019
C03247,  vIHaaN ,  Agarwal   ,Male,23-08-1982, Bengaluru   ,Karnataka,,Retail,773573.1,18-01-2024
C04450,   Pari ,agaRwAL,Male,24-04-1999,delhi   ,Delhi,Self Employed ,Premium,,21-06-2021
C02398,   rohAN ,  gUPtA,Male,14-08-1971,   AHMEDABAD ,Gujarat,,Retail,303197.76,01/09/2022
C04482, Krishna,   SINGH,Female,27-07-1988,,West Bengal,   Freelancer ,Premium,440675.06,11-09-2018
C02301,   Reyansh   ,AGARwAL ,Male,17-07-1985, kolkata   ,West Bengal,  Business Owner,Retail,1278473.58,11-10-2023
C03681,   vIvAAn ,  singh   ,Female,08-03-1986,bhopal   ,Madhya Pradesh,   Freelancer ,Premium,655270.09,2019-12-17
C01473,anaya,   KAPOOR ,Male,19-06-1994,  DELHI,Delhi,,Retail,780116.09,29-03-2018
C00605,  VIHAAN ,REDDY  ,Female,20-11-1990,  Kolkata   ,West Bengal,   Student  ,Wealth,721099.02,03-08-2020
C02812,   sNeHa , kulkarni   ,Male,27-11-2000, LUCKNOW   ,Uttar Pradesh,  Business Owner ,Retail,,14-12-2025
C00003,   krishNA ,  patel ,Male,27-11-1989,   Hyderabad,Telangana,   Retired ,Retail,,06-03-2026
C03906, ADITYA,  sHArMA   ,Male,14-01-1996,,Karnataka,   Retired,Retail,1330804.86,02-06-2024
C01818,Sara  ,Sharma ,Male,10-10-1987,  SURAT   ,Gujarat,   Retired,Retail,$nan,04-09-2024
C03989, SAI  , Mishra   ,Male,26-02-1962,  KOCHI   ,Kerala,,Retail,unknown,07-10-2025
,   rahUl   ,  agarwal   ,Male,18-08-1992, Gurugram   ,Haryana,,Premium,655333.18,10-05-2020
C00200, reyAnsh  ,ChOPRA,Male,07-01-1979,COIMBATORE,Tamil Nadu,,SME,unknown,10-08-2021
C03317, VIHAAN   ,   desai ,Male,07-05-1975,  BHOPAL   ,Madhya Pradesh,   Business Owner   ,Corporate,1016944.06,12-03-2021
C04040, NISHA   ,   JOSHI  ,Male,27-05-1967, Chennai   ,Tamil Nadu,   Freelancer ,Wealth,unknown,2019-02-05
C04044,Kiara,   pAtEL,Female,26-07-1978,Chennai,Tamil Nadu,  Self Employed ,Premium,,2020-12-10
C03152,   ishaan   ,kapoor  ,Female,18-12-1960,  Kolkata   ,West Bengal,  Self Employed   ,Premium,1151132.65,20-11-2021
C03329,  Ishaan  , verma  ,Female,16-10-1988, Surat ,Gujarat,   Retired,Retail,414364.84,09-08-2020
C00902,  rahul   ,  iyer   ,Male,24-02-1972,,Chandigarh,Self Employed ,Premium,936914.02,2023/02/22
C01364,kiara ,   sInGH  ,Female,06-04-1965,,Tamil Nadu,Student,Premium,393973.04,06-05-2018
, KIARA  ,AGarWAL ,Female,06-10-2000,,Haryana, Self Employed,Premium,$849503.39,20-08-2024
C01464, POOJA ,  siNGH  ,Female,13-08-1975, coimbatore   ,Tamil Nadu,Salaried   ,Retail,451434.16,22-06-2018
C04428,arjun   ,Malhotra  ,Female,10-01-1991, Pune,Maharashtra,,Retail,420597.9,05-12-2024
C04744, priyA  ,MISHRA  ,Female,08-04-1980, BENGALURU,Karnataka, Freelancer ,SME,unknown,25-11-2022
C02156, Myra , Agarwal ,Male,20-09-1994,nan,Karnataka,,Premium,2890290.04,16-07-2024
C02363, diya  ,  kApOOR  ,Male,24-12-1965, Noida  ,Uttar Pradesh,Business Owner   ,SME,unknown,11-15-2019
C04214,   Aditya,  Singh   ,Female,27-08-2004, Bengaluru   ,Karnataka,   Salaried ,Premium,1212910.18,26/02/2022
C04979,  mYRA,AgARwal ,Female,01-01-1960,   Chennai ,Tamil Nadu,   Student  ,SME,1120855.43,16-03-2026
C02777,   kabir, KULKARNI ,Female,12-08-1999,,Haryana,,SME,1042413.92,31-07-2020
C03642,  Aadhya  ,   Jain ,Female,13-09-1972,GURUGRAM,Haryana, Business Owner ,Retail,,04/12/2021
C02971,myRa  ,   KumAR,Female,27-04-1974,,West Bengal,Retired  ,Retail,unknown,30/03/2023
C02078,POOJA  ,Verma  ,Male,07-11-1961,   Kochi ,Kerala,   Retired ,Premium,unknown,03-03-2022
C04623,VIHAAN  ,   joshi  ,Male,21-08-2002, Mysuru,Karnataka, Salaried   ,Retail,445069.5,26-09-2019
C02608,  AARAV   ,nair  ,Male,21-11-1993, lucknow  ,Uttar Pradesh,Business Owner  ,Retail,277836.92,13/04/2023
C04649,   riya,  ChOPRA,Male,21-12-1961,  CHENNAI,Tamil Nadu,,SME,,23-04-2023
C00799,aadhya   ,   chopra,Female,11-12-1965,nan,Madhya Pradesh,Self Employed  ,SME,808796.23,07-04-2020
C02743,ROHAN  ,  VERMA ,Male,19-10-1986,   Noida,Uttar Pradesh,,Premium,363755.27,12-23-2018
C01988, dIya   ,   MEHTA ,Female,13-03-1968,nan,Maharashtra,   Self Employed   ,Retail,547315.81,01-10-2022
C02713,Anika   , Reddy  ,Male,03-06-1982,   COIMBATORE ,Tamil Nadu,   Self Employed  ,Premium,,25/10/2022
C01687,  KARAN   ,  AGARwAl  ,Male,26-11-1966,   Gurugram,Haryana,,Premium,936534.46,06-04-2024
C03666, ROHAN  ,   GUPTA ,Female,06-05-1970,  Coimbatore  ,Tamil Nadu,Student,SME,920339.73,07-12-2020
C02307, aditya,   kapoor ,Female,07-09-1981,Mumbai  ,Maharashtra,Student ,Retail,231626.99,09-02-2021
C04732,VIVAAN   ,malHoTRa   ,Female,07-04-2002,,Maharashtra,  Student ,SME,1616979.34,23-09-2019
C02589,sai , Agarwal  ,Female,25-10-1973,,Gujarat,  Self Employed   ,Premium,1051912.39,05-11-2025
C04321, POOJA ,IYER   ,Female,11-06-1988,   Jaipur ,Rajasthan,Freelancer ,Retail,611128.5,02-02-2025
C00721,   KABIR, Bansal,Male,13-01-1963,   Bengaluru   ,Karnataka, Salaried,Retail,409030.94,07/08/2025
C01127, ANiKa,verma  ,Female,08-04-1973,   pune  ,Maharashtra,   Freelancer,Premium,,27-10-2018
C01508,  rOhaN   ,  kulkarni   ,Male,25-06-2002,   Mumbai ,Maharashtra,   Salaried  ,Wealth,987905.49,19-07-2025
C00792,vivaan ,Desai  ,Female,11-07-1998,COIMBATORE   ,Tamil Nadu,   Salaried ,Retail,568405.49,13-01-2018
C01896,Neha , DESAI,Female,24-05-1998,  Jaipur   ,Rajasthan,Salaried ,Premium,572058.25,2022/04/15
C02262,AMIT,joshi   ,Male,19-08-1971,Ahmedabad  ,Gujarat,   Freelancer  ,SME,542910.7,15-08-2019
C04346,   Aditya,   dEsai ,Female,16-05-1968,   HYDERABAD   ,Telangana,  Retired ,SME,863405.07,2020-01-31
C02024, Krishna, Bansal,Male,25-07-1983, Lucknow  ,Uttar Pradesh,  Self Employed,SME,$440236.75,21-04-2018
C02649, iSHAAn  ,  Mishra   ,Male,19-01-1961,   Pune ,Maharashtra,,Retail,$324574.52,2023-07-08
C03978,   Anika,  Chopra  ,Male,13-12-2003,   Nagpur ,Maharashtra, Freelancer,Retail,unknown,07-11-2022
C02995,  KARAN,  Kulkarni ,Male,04-08-1999,   KOLKATA   ,West Bengal, Self Employed  ,Premium,1158956.51,26-06-2023
C04892,  AMIt   ,aGaRWAL  ,Male,26-03-2003, KOCHI ,Kerala,   Retired ,Premium,778523.18,09-03-2019
C03445,  PooJa   ,kapOoR   ,Male,27-02-1978, nagpur,Maharashtra,   Freelancer  ,Retail,519855.9,30/08/2025
C03372,  Amit,kapoor ,Female,26-03-1981,  Lucknow,Uttar Pradesh, Salaried,Retail,180000.0,06-01-2023
C02900,  amit,Gupta  ,Female,19-02-1988,LUCKNOW   ,Uttar Pradesh,Student   ,Retail,753437.68,29-05-2024
,  ROHAN,nair ,Female,09-02-1985,,Tamil Nadu,  Self Employed,Premium,2281263.66,29-09-2018
C02001,  riya  ,  Bansal  ,Female,19-05-1965,Hyderabad ,Telangana,Self Employed  ,Premium,,12-10-2025
C00675,   karan  ,Desai   ,Male,17-01-1995,MYSURU   ,Karnataka,,Retail,,11-04-2021
C04407,PRIYA ,   Sharma   ,Male,26-02-1988,nan,Uttar Pradesh,  Business Owner ,Retail,582789.32,31-03-2025
C04651,   sai, JOSHI ,Male,13-07-1994,Chandigarh   ,Chandigarh,   Retired  ,SME,,18-10-2021
C00353,  pRiyA ,MalHOtRa  ,Male,26-12-1963,,Delhi,Freelancer,Retail,615461.64,2025-04-04
C00356,SAI,  KAPOOR  ,Female,22-03-1988,  CHENNAI ,Tamil Nadu,Salaried   ,Retail,333278.32,09-15-2021
C02879,karan  ,  malhotra ,Female,07-08-1979,  Gurugram ,Haryana,  Freelancer   ,Wealth,3255624.36,27/01/2020
,  reyansh   ,agarwal ,Male,04-12-1961,NAN,Maharashtra,,Wealth,1900999.86,30-01-2023
C03322,myra,  KaPOOr ,Female,05-06-1970, Ahmedabad,Gujarat,Freelancer ,Premium,594163.01,03-04-2021
